,Player,Team,ALL_TOI,ALL_xGF,ALL_xGA,EV_TOI,EV_xGF,EV_xGA,5v5_TOI,5v5_xGF,5v5_xGA,ALL_xGF/60,ALL_xGA/60,EV_xGF/60,EV_xGA/60,5v5_xGF/60,5v5_xGA/60,ALL_xGF%,EV_xGF%,5v5_xGF%
650,RYAN MCDONAGH,NSH,568.5666666666666,26.78575519922242,35.207824247037166,456.45,23.48785591827876,19.368329854058267,445.95,23.33691418009313,18.827571259710727,2.8266611572140685,3.715429656133371,3.087460521627179,2.5459520018479482,3.1398471819836034,2.53314110456922,43.20730539916993,54.80622107401773,55.34732355126232
651,RYAN MCLEOD,EDM,447.26666666666665,22.03798851906205,17.407912688836944,363.26666666666665,18.310400515824526,12.450779518672437,353.01666666666665,18.117848977167462,11.935976912605273,2.956355592063772,2.3352394425329033,3.0242907807381303,2.0564693644347942,3.079375681875401,2.0286821625692357,55.868893457171076,59.524376162716855,60.28466739515162
652,RYAN NUGENT-HOPKINS,EDM,618.85,56.794631486668344,26.441759686952764,430.76666666666665,31.641180846985968,17.21725638810966,419.31666666666666,30.618582197784797,16.546256262050502,5.5064682705019,2.5636350993248214,4.407190708393929,2.3981321286541353,4.381211332406902,2.3676029469924007,68.2329335593149,64.76093513743766,64.91823824194589
653,RYAN O'REILLY,NSH,678.4166666666666,48.01411981608867,32.211279919111014,456.56666666666666,23.437552908499498,21.67274525887032,442.6333333333333,22.274560039819374,21.50764298081829,4.24642749878195,2.8488050045154076,3.080060979433387,2.848137655396552,3.019369536235776,2.915412106745457,59.84902533931782,51.95610284272709,50.875831966061156
654,RYAN POEHLING,PHI,379.4166666666667,14.7117412808933,20.049977386189507,320.26666666666665,13.880324451873673,14.875219310326735,314.0,13.382223043142195,14.086483780272864,2.3264778656365417,3.1706531337703594,2.600393839859764,2.786781302933818,2.557112683402967,2.6916847987782546,42.32167408576495,48.27008164637654,48.718067177938025
655,RYAN PULOCK,NYI,570.3666666666667,25.34408936976331,32.532178348287786,486.84999999999997,23.03765986103883,22.095514858950544,463.7833333333333,22.360156024787752,21.766332133457727,2.6660838563248177,3.4222383862379764,2.839189877092184,2.7230787543124837,2.892750267338769,2.815926822167241,43.79012394722667,51.04373889930572,50.6728655690891
656,RYAN REAVES,TOR,154.03333333333333,3.9008256604460936,8.105125213101696,152.23333333333335,3.847496013182896,8.105125213101696,152.21666666666667,3.847496013182896,8.105125213101696,1.519473315040677,3.157157624666317,1.5164205876350365,3.1944877126304028,1.5165866251460007,3.194837486824275,32.49076813266511,32.18955859424376,32.18955859424376
657,RYAN SHEA,PIT,274.18333333333334,13.700471233947361,17.612718254499647,254.58333333333331,13.489567570965043,15.733919457202127,252.21666666666667,13.323346786720805,15.733919457202127,2.9980971638326244,3.8542207596011626,3.179210687756082,3.708157777147474,3.169500325923141,3.7429531517827037,43.753036524759466,46.16002039032191,45.85203120925825
658,RYAN STROME,ANA,511.1333333333333,31.638398295909802,22.91584846943936,400.51666666666665,19.918535983364862,20.592197331809754,388.85,19.10853175388612,20.42151665983895,3.713911369025541,2.6900043853522138,2.9839261595486457,3.084845008302406,2.948468317431316,3.1510633909999664,57.994382054240624,49.16853967662867,48.339257149129935
659,RYAN SUTER,DAL,638.8166666666666,29.953964309997847,29.46426406324133,583.6,27.328730150100835,23.348688692394685,572.9166666666666,27.00825938140493,23.128650570915905,2.813385987528823,2.7673915475923923,2.809670680270819,2.400482045139961,2.8285013461253166,2.4222004961541024,50.412079138139596,53.926839160924956,53.869014678186645
